season,team,played,wins,losses,draws,win_pct,pts_for,pts_against
2019,Geelong,22,17,5,0,77.27,2146,1715
2019,GWS Giants,22,16,6,0,72.73,2158,1716
2019,Richmond,22,16,6,0,72.73,2166,1712
2019,Brisbane Lions,22,14,8,0,63.64,2078,1730
2019,West Coast Eagles,22,14,8,0,63.64,1867,1684
2019,Collingwood,22,14,8,0,63.64,1968,1750
2019,Essendon,22,12,10,0,54.55,1722,1678
2019,Melbourne,22,12,10,0,54.55,1724,1706
2019,Sydney Swans,22,11,11,0,50.0,1716,1783
2019,Hawthorn,22,11,11,0,50.0,1782,1841
2019,Fremantle,22,10,12,0,45.45,1701,1775
2019,Western Bulldogs,22,10,12,0,45.45,1685,1776
2019,Port Adelaide,22,9,13,0,40.91,1771,1862
2019,St Kilda,22,8,14,0,36.36,1599,1855
2019,Carlton,22,8,14,0,36.36,1680,1871
2019,Gold Coast Suns,22,7,15,0,31.82,1323,1840
2019,Adelaide Crows,22,7,15,0,31.82,1726,1912
2019,North Melbourne,22,6,16,0,27.27,1782,1959
2020,Richmond,17,13,2,1,79.41,1347,1070
2020,Port Adelaide,17,12,3,1,73.53,1249,1013
2020,Brisbane Lions,17,11,4,1,67.65,1241,1082
2020,Geelong,17,11,4,1,67.65,1438,1098
2020,West Coast Eagles,17,10,7,0,58.82,1173,1058
2020,Collingwood,17,10,6,1,61.76,1034,966
2020,Western Bulldogs,17,9,7,1,55.88,1118,1021
2020,St Kilda,17,9,7,1,55.88,1245,1070
2020,Essendon,17,9,8,0,52.94,917,950
2020,Melbourne,17,8,9,0,47.06,1038,986
2020,Sydney Swans,17,8,9,0,47.06,873,889
2020,Hawthorn,17,8,8,1,50.0,951,934
2020,GWS Giants,17,7,10,0,41.18,975,982
2020,Fremantle,17,6,11,0,35.29,840,931
2020,Carlton,17,6,11,0,35.29,990,1051
2020,Adelaide Crows,17,5,12,0,29.41,796,978
2020,North Melbourne,17,4,13,0,23.53,830,1018
2020,Gold Coast Suns,17,2,15,0,11.76,957,1290
2021,Melbourne,22,18,1,0,85.71,2178,1371
2021,Geelong,22,15,6,1,71.43,1983,1657
2021,Western Bulldogs,22,15,7,0,68.18,1800,1570
2021,Brisbane Lions,22,15,7,0,68.18,2226,1678
2021,Port Adelaide,22,14,8,0,63.64,1979,1705
2021,GWS Giants,22,13,9,0,59.09,1844,1749
2021,Essendon,22,11,11,0,50.0,1946,1862
2021,Sydney Swans,22,11,11,0,50.0,1724,1656
2021,St Kilda,22,11,11,0,50.0,1606,1583
2021,Hawthorn,22,10,12,0,45.45,1579,1660
2021,Fremantle,22,10,12,0,45.45,1538,1590
2021,Richmond,22,9,13,0,40.91,1601,1680
2021,West Coast Eagles,22,9,13,0,40.91,1554,1621
2021,Collingwood,22,8,14,0,36.36,1516,1625
2021,Carlton,22,8,14,0,36.36,1701,1756
2021,Adelaide Crows,22,7,15,0,31.82,1568,1782
2021,Gold Coast Suns,22,6,16,0,27.27,1386,1789
2021,North Melbourne,22,4,18,0,18.18,1414,2026
2022,Geelong,22,18,4,0,81.82,2406,1674
2022,Collingwood,22,15,7,0,68.18,2019,1779
2022,Melbourne,22,15,7,0,68.18,2018,1699
2022,Brisbane Lions,22,14,8,0,63.64,2348,1767
2022,Sydney Swans,22,14,8,0,63.64,2244,1726
2022,Carlton,22,13,9,0,59.09,1816,1693
2022,Fremantle,22,13,9,0,59.09,1822,1719
2022,GWS Giants,22,11,11,0,50.0,1599,1618
2022,Richmond,22,11,11,0,50.0,2256,1840
2022,St Kilda,22,10,12,0,45.45,1664,1618
2022,Port Adelaide,22,10,12,0,45.45,1764,1740
2022,Western Bulldogs,22,10,12,0,45.45,1811,1717
2022,Essendon,22,9,13,0,40.91,1687,1699
2022,Hawthorn,22,8,14,0,36.36,1680,1825
2022,West Coast Eagles,22,5,17,0,22.73,1394,2026
2022,Adelaide Crows,22,6,16,0,27.27,1672,1962
2022,Gold Coast Suns,22,7,15,0,31.82,1820,1924
2022,North Melbourne,22,3,19,0,13.64,1296,2049
2023,Collingwood,23,17,5,1,76.09,2278,1834
2023,Brisbane Lions,23,16,7,0,69.57,2401,1944
2023,Carlton,23,15,8,0,65.22,2061,1846
2023,Melbourne,23,13,10,0,56.52,2148,1751
2023,GWS Giants,23,13,9,1,58.7,2213,2022
2023,Port Adelaide,23,13,10,0,56.52,2284,2084
2023,Sydney Swans,23,13,10,0,56.52,2068,1884
2023,Geelong,23,12,11,0,52.17,2008,1799
2023,Hawthorn,23,11,12,0,47.83,1639,2053
2023,Fremantle,23,11,12,0,47.83,1694,1847
2023,Richmond,23,10,13,0,43.48,1629,1916
2023,Western Bulldogs,23,10,13,0,43.48,1866,1722
2023,Essendon,23,9,14,0,39.13,1792,1997
2023,St Kilda,23,9,14,0,39.13,1804,1688
2023,Adelaide Crows,23,8,15,0,34.78,1981,1706
2023,West Coast Eagles,23,6,17,0,26.09,1373,2486
2023,Gold Coast Suns,23,7,16,0,30.43,1785,1960
2023,North Melbourne,23,4,19,0,17.39,1508,2245
